"9mm	Weight_dn9.1	Weight_dn9.2	Weight_dn9.3	Weight_un9.1	Weight_un9.2	Weight_un9.3	Weight_dp9.1	Weight_dp9.2	Weight_dp9.3	Weight_up9.1	Weight_up9.2	Weight_up9.3			dn평균	dn분산	dn표편	un평균	un분산	un표편	dp평균	dp분산	dp표편	up평균	up분산	up표편"
"10kpa	2.55	2.42	2.43	1.16	1.14	1.11	3.05	3.03	3.08	1.39	1.3	1.28	9mm	10kpa	2.47	0.005233333	0.072341781	1.14	0.000633333	0.025166115	3.05	0.000633333	0.025166115	1.32	0.003433333	0.058594653"
"20kpa	4.91	4.69	4.62	1.97	2.2	2.09	6.21	6.02	6.14	2.61	2.51	3.47		20kpa	4.74	0.0229	0.15132746	2.09	0.013233333	0.115036226	6.12	0.009233333	0.096090235	2.86	0.278533333	0.527762573"
"30kpa	6.79	6.54	6.48	2.78	2.79	2.83	9.66	9.33	9.36	3.85	3.75	3.73		30kpa	6.6	0.027033333	0.164418166	2.8	0.0007	0.026457513	9.45	0.0333	0.182482876	3.78	0.004133333	0.064291005"
"40kpa	7.4	6.75	6.66	3.95	3.8	3.83	13.13	12.67	12.62	5.09	5.04	5.02		40kpa	6.94	0.163033333	0.403773864	3.86	0.0063	0.079372539	12.81	0.079033333	0.281128678	5.05	0.0013	0.036055513"
"50kpa	8.2	7.69	7.63	4.62	4.42	4.38	16.59	15.88	15.82	6.34	6.32	6.33		50kpa	7.84	0.0981	0.313209195	4.47	0.016533333	0.12858201	16.1	0.183433333	0.428291178	6.33	1E-04	0.01"
"60kpa							19.83	18.83	18.83	7.58	7.55	7.54		60kpa							19.16	0.333333333	0.577350269	7.56	0.000433333	0.02081666"
"70kpa							22.69	21.61	21.56	8.81	8.8	8.75		70kpa							21.95	0.407633333	0.638461693	8.79	0.001033333	0.032145503"
"																										"
"12mm	Weight_dn12.1	Weight_dn12.2	Weight_dn12.3	Weight_un12.1	Weight_un12.2	Weight_un12.3	Weight_dp12.1	Weight_dp12.2	Weight_dp12.3	Weight_up12.1	Weight_up12.2	Weight_up12.3														"
"10kpa	1.82	1.48	2.04	1.29	1.28	1.2	2.96	2.61	2.55	1.48	1.19	1.29	12mm	10kpa	1.78	0.0796	0.28213472	1.26	0.002433333	0.049328829	2.71	0.049033333	0.221434716	1.32	0.0217	0.147309199"
"20kpa	3.56	3.34	3.91	2.59	2.61	2.55	5.57	5.03	4.93	2.59	2.33	2.38		20kpa	3.6	0.082633333	0.287460142	2.58	0.000933333	0.030550505	5.18	0.118533333	0.344286702	2.43	0.019033333	0.137961347"
"30kpa	5.5	5.49	5.5	4.01	3.97	3.87	8.27	7.57	7.55	3.58	3.46	3.51		30kpa	5.5	3.33333E-05	0.005773503	3.95	0.0052	0.072111026	7.8	0.168133333	0.410040648	3.52	0.003633333	0.060277138"
"40kpa	7.51	7.47	7.52	5.3	5.23	5.01	10.89	10.11	10.02	4.7	4.61	4.72		40kpa	7.5	0.0007	0.026457513	5.18	0.0229	0.15132746	10.34	0.2289	0.478434949	4.68	0.003433333	0.058594653"
"50kpa	9.15	8.86	8.9	6.35	6.37	6.22	13.59	12.75	12.64	5.91	5.82	5.94		50kpa	8.97	0.0247	0.157162336	6.31	0.006633333	0.081445278	12.99	0.270033333	0.519647316	5.89	0.0039	0.06244998"
"60kpa							16.26	15.4	15.12	7.17	7	7.11		60kpa							15.59	0.352933333	0.594081925	7.09	0.007433333	0.086216781"
"70kpa							18.98	18.14	17.9	8.36	8.23	8.36		70kpa							18.34	0.3216	0.567097875	8.32	0.005633333	0.075055535"
"																										"
"15mm	Weight_dn15.1	Weight_dn15.2	Weight_dn15.3	Weight_un15.1	Weight_un15.2	Weight_un15.3	Weight_dp15.1	Weight_dp15.2	Weight_dp15.3	Weight_up15.1	Weight_up15.2	Weight_up15.3														"
"10kpa	1.85	1.96	1.91	1.02	1.07	1.14	2.33	2.3	2.31	1.35	1.02	1.04	15mm	10kpa	1.91	0.003033333	0.055075705	1.08	0.003633333	0.060277138	2.31	0.000233333	0.015275252	1.14	0.034233333	0.185022521"
"20kpa	3.29	3.19	3.11	2.2	2.56	2.65	4.58	4.59	4.58	2.34	2	2		20kpa	3.2	0.008133333	0.090184995	2.47	0.0567	0.238117618	4.58	3.33333E-05	0.005773503	2.11	0.038533333	0.196299092"
"30kpa	3.98	4.4	4.24	3.7	4.18	4.06	6.96	6.62	6.88	3.32	2.97	2.92		30kpa	4.21	0.044933333	0.211974841	3.98	0.0624	0.24979992	6.82	0.0316	0.177763888	3.07	0.0475	0.217944947"
"40kpa	4.9	5.45	5.41	4.34	5.52	5.54	9.42	9.26	9.23	4.31	3.96	3.97		40kpa	5.25	0.094033333	0.30664855	5.13	0.472133333	0.687119592	9.3	0.010433333	0.10214369	4.08	0.0397	0.199248588"
"50kpa	6.06	5.69	5.49	5.59	6.64	6.56	11.83	11.62	11.59	5.31	4.94	4.99		50kpa	5.75	0.083633333	0.289194283	6.26	0.341633333	0.584494083	11.68	0.0171	0.130766968	5.08	0.0403	0.200748599"
"60kpa							14.2	13.91	13.85	6.32	5.95	5.96		60kpa							13.99	0.035033333	0.187171935	6.08	0.044433333	0.210792157"
"70kpa							16.56	16.27	16.18	7.34	6.97	6.97		70kpa							16.34	0.039433333	0.19857828	7.09	0.045633333	0.2136196"
"																										"
"18mm	Weight_dn18.1	Weight_dn18.2	Weight_dn18.3	Weight_un18.1	Weight_un18.2	Weight_un18.3	Weight_dp18.1	Weight_dp18.2	Weight_dp18.3	Weight_up18.1	Weight_up18.2	Weight_up18.3														"
"10kpa	2.08	1.8	1.75	0.88	0.88	0.73	2.3	2.35	2.37	1.16	0.92	0.92	18mm	10kpa	1.88	0.031633333	0.177857621	0.83	0.0075	0.08660254	2.34	0.0013	0.036055513	1	0.0192	0.138564065"
"20kpa	3.44	3.18	3.1	1.77	1.94	2.11	4.69	4.69	4.62	2.02	1.76	1.75		20kpa	3.24	0.0316	0.177763888	1.94	0.0289	0.17	4.67	0.001633333	0.040414519	1.84	0.023433333	0.1530795"
"30kpa	4.59	4.31	4.2	3.31	3.54	3.78	7.09	6.93	6.92	2.86	2.69	2.58		30kpa	4.37	0.040433333	0.201080415	3.54	0.055233333	0.23501773	6.98	0.0091	0.09539392	2.71	0.0199	0.14106736"
"40kpa	5.61	5.32	5.22	4.72	4.85	5.32	9.52	9.28	9.26	3.69	3.43	3.4		40kpa	5.38	0.041033333	0.202566861	4.96	0.099633333	0.315647483	9.35	0.020933333	0.144683563	3.51	0.025433333	0.159478316"
