10kpa	2.55	2.42	2.43	1.16	1.14	1.11	3.05	3.03	3.08	1.39	1.3	1.28
20kpa	4.91	4.69	4.62	1.97	2.2	2.09	6.21	6.02	6.14	2.61	2.51	3.47
30kpa	6.79	6.54	6.48	2.78	2.79	2.83	9.66	9.33	9.36	3.85	3.75	3.73
40kpa	7.4	6.75	6.66	3.95	3.8	3.83	13.13	12.67	12.62	5.09	5.04	5.02
50kpa	8.2	7.69	7.63	4.62	4.42	4.38	16.59	15.88	15.82	6.34	6.32	6.33
60kpa							19.83	18.83	18.83	7.58	7.55	7.54
70kpa							22.69	21.61	21.56	8.81	8.8	8.75
10kpa	1.82	1.48	2.04	1.29	1.28	1.2	2.96	2.61	2.55	1.48	1.19	1.29
20kpa	3.56	3.34	3.91	2.59	2.61	2.55	5.57	5.03	4.93	2.59	2.33	2.38
30kpa	5.5	5.49	5.5	4.01	3.97	3.87	8.27	7.57	7.55	3.58	3.46	3.51
40kpa	7.51	7.47	7.52	5.3	5.23	5.01	10.89	10.11	10.02	4.7	4.61	4.72
50kpa	9.15	8.86	8.9	6.35	6.37	6.22	13.59	12.75	12.64	5.91	5.82	5.94
60kpa							16.26	15.4	15.12	7.17	7	7.11
70kpa							18.98	18.14	17.9	8.36	8.23	8.36
10kpa	1.85	1.96	1.91	1.02	1.07	1.14	2.33	2.3	2.31	1.35	1.02	1.04
20kpa	3.29	3.19	3.11	2.2	2.56	2.65	4.58	4.59	4.58	2.34	2	2
30kpa	3.98	4.4	4.24	3.7	4.18	4.06	6.96	6.62	6.88	3.32	2.97	2.92
40kpa	4.9	5.45	5.41	4.34	5.52	5.54	9.42	9.26	9.23	4.31	3.96	3.97
50kpa	6.06	5.69	5.49	5.59	6.64	6.56	11.83	11.62	11.59	5.31	4.94	4.99
60kpa							14.2	13.91	13.85	6.32	5.95	5.96
70kpa							16.56	16.27	16.18	7.34	6.97	6.9
10kpa	2.08	1.8	1.75	0.88	0.88	0.73	2.3	2.35	2.37	1.16	0.92	0.92
20kpa	3.44	3.18	3.1	1.77	1.94	2.11	4.69	4.69	4.62	2.02	1.76	1.75
30kpa	4.59	4.31	4.2	3.31	3.54	3.78	7.09	6.93	6.92	2.86	2.69	2.58
40kpa	5.61	5.32	5.22	4.72	4.85	5.32	9.52	9.28	9.26	3.69	3.43	3.4
50kpa	6.58	6.35	6.24	6.22	6.39	6.81	11.88	11.6	11.59	4.5	4.23	4.21
60kpa							14.01	13.94	13.87	5.31	5.05	5.03
70kpa							16.37	16.23	16.15	6.13	5.88	5.83
10kpa	1.34	1.31	1.25	1.07	1.8	0.77	2.52	2.32	2.28	0.8	0.57	0.51
20kpa	2.46	2.49	2.44	3.46	3.86	2.34	4.89	4.59	4.52	1.44	1.14	1.05
30kpa	3.39	3.53	3.45	5.48	5.55	3.22	7.36	6.9	6.79	2.01	1.68	1.55
40kpa	4.26	4.41	4.33	6.42	7.08	4.09	9.83	9.26	9.13	2.54	2.22	2.05
50kpa	5.09	5.26	5.18	7.22	8.51	4.43	12.2	11.59	11.45	3.14	2.81	2.63
60kpa							14.59	13.96	13.72	3.78	3.48	3.28
70kpa							16.91	16.27	16.01	4.47	4.1	3.94
10kpa	1.58	1.52	1.27	0.6	0.78	1.02	2.45	2.33	2.33	0.55	0.59	0.57
20kpa	2.3	2.16	1.96	2.66	3.03	3.16	4.84	4.63	4.62	0.96	1	0.98
30kpa	2.79	2.73	2.6	4.37	4.96	5.08	7.19	7	6.97	1.29	1.31	1.31
40kpa	3.33	3.26	3.19	6.16	6.63	6.7	9.61	9.41	9.37	1.8	1.8	1.76
50kpa	3.86	3.86	3.82	7.68	8.08	8.14	12.24	11.85	11.83	2.3	2.31	2.29
60kpa							14.71	14.33	14.17	2.72	2.72	2.79
70kpa							17.17	16.73	16.66	3.16	3.19	3.27
10kpa	1.39	1.34	1.18	1.44	1.81	1.98	1.47	1.93	2.02	0.68	0.56	0.54
20kpa	2.16	2.09	1.92	3.55	3.83	3.98	3.41	3.89	3.92	1.07	0.8	0.93
30kpa	2.78	2.7	2.6	4.95	5.1	5.2	5.46	5.93	5.91	1.36	1.11	1.3
40kpa	3.27	3.18	3.06	5.83	5.96	6.1	7.62	8.08	8.05	1.64	1.52	1.74
50kpa	3.69	3.63	3.54	7.22	7.36	7.48	9.78	10.14	10.1	2.1	1.97	2.19
60kpa							11.86	12.19	12.15	2.56	2.39	2.62
70kpa							13.89	14.19	14.13	3.01	2.83	3.06
