Weight_dn9.1,Weight_dn9.2,Weight_dn9.3,Weight_un9.1,Weight_un9.2,Weight_un9.3,Weight_dn12,Weight_un12,Weight_dn15,Weight_un15,Weight_dn18,Weight_un18,Weight_dn21,Weight_un21,Weight_dn24,Weight_un24,Weight_dn27,Weight_un27
1.13,0.92,0.59,1.45,0.58,0.87,0.76,0.85,0.92,0.89,0.55,0.68,0.73,1.38,2.14,0.88,,1.47
1.48,1.62,1.3,1.91,1.59,1.79,1.36,1.53,1.92,1.47,1.49,1.29,1.48,2.25,2.18,1.47,1.4,2.28
1.33,1.52,1.47,1.88,1.97,1.97,1.45,1.49,2.16,1.53,1.9,1.45,1.57,2.39,2.07,1.38,1.4,2.4
1.17,1.32,1.4,1.67,1.91,1.85,1.35,1.24,2.07,1.17,1.87,1.36,1.37,2.23,1.81,1.11,1.4,2.22
1.15,1.24,1.19,1.43,1.66,1.55,1.14,1.14,1.78,1.1,1.46,1.11,1.23,1.86,1.67,0.98,1.4,2.01
1.18,1.26,1.09,1.41,1.44,1.43,1.08,1.16,1.62,1.12,1.46,1.01,1.24,1.75,1.68,0.99,1.4,2
1.19,1.28,1.12,1.44,1.47,1.46,1.09,1.19,1.67,1.15,1.49,1.03,1.27,1.79,1.71,1.01,1.4,2.05
1.2,1.29,1.13,1.47,1.48,1.47,1.11,1.2,1.68,1.16,1.51,1.07,1.28,1.83,1.72,1.06,1.4,2.11
1.23,1.3,1.14,1.49,1.5,1.5,1.13,1.21,1.69,1.17,1.53,1.1,1.3,1.95,1.82,1.22,1.4,2.16
1.26,1.34,1.15,1.52,1.53,1.55,1.15,1.24,1.72,1.21,1.57,1.15,1.34,2.04,1.83,1.29,1.4,2.23
1.27,1.35,1.17,1.54,1.56,1.57,1.17,1.27,1.75,1.23,1.6,1.17,1.36,2.05,1.81,1.22,1.41,2.24
1.26,1.34,1.18,1.53,1.57,1.56,1.17,1.26,1.76,1.21,1.6,1.17,1.34,2.03,1.79,1.19,1.41,2.23
1.25,1.33,1.17,1.52,1.56,1.54,1.16,1.25,1.74,1.2,1.58,1.16,1.33,2.02,1.78,1.17,1.41,2.22
1.25,1.33,1.17,1.51,1.54,1.53,1.16,1.24,1.73,1.2,1.58,1.16,1.33,2.02,1.78,1.17,1.41,2.22
1.25,1.33,1.17,1.51,1.54,1.52,1.16,1.24,1.73,1.2,1.58,1.16,1.33,2.02,1.77,1.17,1.41,2.22
1.25,1.33,1.17,1.51,1.54,1.52,1.16,1.24,1.73,1.2,1.58,1.16,1.33,2.03,1.77,1.17,1.41,2.23
1.26,1.33,1.17,1.51,1.54,1.52,1.15,1.24,1.73,1.2,1.59,1.16,1.33,2.01,1.77,1.17,1.41,2.23
1.26,1.33,1.17,1.51,1.54,1.52,1.16,1.24,1.73,1.21,1.59,1.17,1.33,2.01,1.78,1.23,1.41,2.23
1.26,1.34,1.17,1.51,1.54,1.52,1.16,1.24,1.73,1.21,1.59,1.17,1.34,2.02,1.78,1.3,1.41,2.24
1.26,1.34,1.17,1.51,1.54,1.52,1.16,1.24,1.73,1.21,1.59,1.17,1.34,2.03,1.78,1.26,1.4,2.24
1.27,1.34,1.17,1.51,1.54,1.53,1.16,1.24,1.73,1.21,1.59,1.18,1.34,2.04,1.78,1.24,1.4,2.25
1.27,1.34,1.17,1.51,1.54,1.52,1.16,1.24,1.73,1.21,1.6,1.18,1.34,2.05,1.78,1.23,1.4,2.25
1.27,1.34,1.17,1.51,1.54,1.53,1.16,1.24,1.73,1.21,1.6,1.18,1.34,2.05,1.77,1.22,1.4,2.25
1.27,1.34,1.17,1.51,1.54,1.53,1.16,1.24,1.73,1.21,1.61,1.18,1.34,2.06,1.77,1.21,1.4,2.26
1.27,1.34,1.17,1.51,1.54,1.53,1.16,1.24,1.74,1.21,1.61,1.19,1.34,2.07,1.79,1.23,1.4,2.26
1.27,1.34,1.17,1.51,1.54,1.53,1.16,1.23,1.74,1.22,1.61,1.19,1.34,2.08,1.83,1.31,1.4,2.27
1.28,1.34,1.17,1.51,1.54,1.53,1.16,1.24,1.74,1.22,1.61,1.19,1.34,2.09,1.81,1.34,1.4,2.27
1.28,1.34,1.18,1.51,1.54,1.53,1.16,1.24,1.74,1.22,1.61,1.2,1.34,2.09,1.8,1.28,1.4,2.27
1.28,1.34,1.18,1.51,1.54,1.53,1.16,1.24,1.74,1.22,1.61,1.2,1.34,2.1,1.79,1.26,0.6,2.28
1.28,1.34,1.17,1.51,1.54,1.53,1.16,1.24,1.74,1.22,1.62,1.2,1.34,2.1,1.78,1.25,1.26,2.28
1.28,1.34,1.17,1.51,1.54,1.53,1.16,1.24,1.74,1.22,1.62,1.2,1.34,2.1,1.78,1.24,1.42,2.28
1.28,1.34,1.18,1.51,1.54,1.53,1.16,1.24,1.74,1.22,1.62,1.2,1.34,2.11,1.78,1.26,1.39,2.28
1.28,1.34,1.18,1.51,1.55,1.53,1.16,1.24,1.74,1.23,1.62,1.21,1.34,2.11,1.78,1.34,1.27,2.29
1.29,1.35,1.18,1.51,1.55,1.53,1.16,1.24,1.74,1.23,1.62,1.21,1.35,2.12,1.78,1.36,1.14,2.29
1.29,1.35,1.18,1.51,1.55,1.53,1.16,1.24,1.74,1.23,1.62,1.21,1.35,2.12,1.77,1.32,1.14,2.29
1.29,1.35,1.18,1.51,1.55,1.53,1.16,1.24,1.74,1.23,1.63,1.21,1.35,2.13,1.78,1.28,1.16,2.29
1.29,1.35,1.18,1.51,1.55,1.53,1.16,1.24,1.74,1.23,1.63,1.21,1.35,2.13,1.79,1.27,1.18,2.3
1.29,1.35,1.18,1.51,1.55,1.53,1.16,1.24,1.74,1.23,1.63,1.21,1.35,2.14,1.81,1.26,1.18,2.3
1.29,1.35,1.18,1.51,1.55,1.53,1.16,1.24,1.74,1.23,1.63,1.22,1.35,2.14,1.81,1.31,1.19,2.3
1.29,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.74,1.23,1.63,1.22,1.35,2.14,1.8,1.37,1.19,2.3
1.29,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.74,1.23,1.63,1.22,1.35,2.15,1.79,1.36,1.2,2.3
1.29,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.74,1.23,1.63,1.22,1.35,2.15,1.79,1.32,1.21,2.31
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.23,1.64,1.22,1.35,2.15,1.77,1.3,1.21,2.31
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.64,1.22,1.35,2.16,1.77,1.29,1.22,2.31
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.64,1.23,1.35,2.16,1.77,1.3,1.21,2.32
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.64,1.23,1.35,2.17,1.78,1.38,1.21,2.32
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.64,1.23,1.35,2.17,1.79,1.39,1.21,2.32
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.64,1.23,1.35,2.17,1.8,1.36,1.22,2.32
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.64,1.23,1.35,2.18,1.81,1.33,1.22,2.32
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.64,1.23,1.35,2.18,1.8,1.31,1.22,2.32
1.3,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,1.71,1.24,1.35,2.18,1.79,1.3,1.22,2.33
1.31,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.24,2.17,1.24,1.36,2.19,1.77,1.29,1.22,2.33
1.31,1.35,1.18,1.51,1.55,1.53,1.17,1.24,1.75,1.3,2.98,1.24,1.41,2.19,1.77,1.41,1.23,2.33
1.31,1.35,1.18,1.51,1.55,1.53,1.18,1.24,1.75,1.73,3.32,1.29,2.46,2.19,1.77,1.41,1.23,2.33
1.31,1.35,1.18,1.51,1.55,1.53,1.18,1.24,1.77,2.93,3.3,1.74,2.72,2.19,1.77,1.36,1.23,2.33
1.31,1.36,1.18,1.51,1.55,1.54,1.18,1.24,2.03,2.95,2.97,2.74,2.69,2.21,1.77,1.34,1.23,2.34
1.31,1.36,1.18,1.51,1.55,1.53,1.18,1.24,2.79,2.75,2.98,3.31,2.53,2.44,1.78,1.32,1.23,2.34
1.31,1.36,1.18,1.51,1.55,1.54,1.18,1.24,3.3,2.58,3.01,3.34,2.41,3.4,1.79,1.31,1.23,2.34
1.31,1.36,1.18,1.51,1.55,1.53,1.18,1.24,3.18,2.59,3.04,2.91,2.42,4.35,1.8,1.3,1.22,2.34
1.31,1.36,1.18,1.51,1.55,1.53,1.19,1.24,2.98,2.63,3.11,2.91,2.45,4.44,1.78,1.34,1.22,2.34
1.31,1.36,1.18,1.51,1.55,1.53,1.19,1.24,2.95,2.67,3.18,2.95,2.47,4.14,1.78,1.41,1.22,2.36
1.31,1.36,1.19,1.51,1.55,1.54,1.19,1.24,2.98,2.75,3.19,2.99,2.5,4.03,1.89,1.39,1.22,2.59
1.32,1.36,1.19,1.51,1.55,1.54,1.19,1.24,3.01,2.89,3.18,3.05,2.58,4.07,2.41,1.61,1.22,3.32
