Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un
0.22,0.1,0.29,0.75,0.3,0.16,0.64,0.22,0.42,0.84,2,0.11
0.25,0.1,0.29,1.75,0.35,0.32,0.65,2.49,3.23,0.84,0.22,0.75
0.25,0.1,0.29,1.74,0.34,0.34,0.64,4.45,5.15,0.84,1.22,1.75
0.25,0.1,0.29,1.74,0.31,0.33,0.65,4.59,5.26,0.84,2.21,2.04
0.25,0.1,0.29,1.74,0.28,0.3,0.65,4.58,5.24,0.84,2.35,1.99
0.25,0.1,0.29,1.74,0.28,0.27,0.65,4.55,5.2,0.84,2.31,1.76
0.25,0.1,0.29,1.74,0.28,0.27,0.65,4.51,5.14,1.33,2.17,1.54
0.25,0.1,0.29,1.74,0.29,0.28,0.65,4.48,5.14,0.98,2,1.52
0.25,0.1,0.29,1.75,0.29,0.28,0.65,4.47,5.14,0.86,1.98,1.56
0.25,0.1,0.29,1.75,0.29,0.29,0.65,4.47,5.14,0.85,2.02,1.58
0.25,0.1,0.29,1.75,0.29,0.29,0.65,4.47,5.08,0.85,2.03,1.61
0.25,0.55,0.29,1.75,0.29,0.29,0.65,4.42,4.8,0.85,2.03,1.67
0.24,0.58,0.29,1.75,0.29,0.29,0.65,4.2,4.36,0.84,2.03,1.68
0.22,0.58,0.29,1.75,0.29,0.29,0.65,3.84,4.09,0.84,2.03,1.66
0.21,0.59,0.29,1.75,0.29,0.29,0.65,3.61,4.05,0.84,2.04,1.65
0.21,0.59,0.29,1.75,0.3,0.29,0.65,3.56,4.1,0.84,2.04,1.64
0.21,0.59,0.29,1.75,0.3,0.29,0.64,3.56,4.13,0.84,2.04,1.64
0.21,0.58,,1.75,0.3,0.3,0.65,3.58,4.15,0.84,2.04,1.64
0.21,0.59,,1.75,0.3,0.3,0.64,3.6,4.15,0.84,2.04,1.64
0.21,0.59,0.24,1.75,0.3,0.3,0.65,3.6,4.15,0.84,2.04,1.64
0.21,0.59,0.5,1.74,0.3,0.3,0.65,3.61,4.16,0.84,2.05,1.64
0.21,0.59,0.56,1.74,0.3,0.3,0.65,3.61,4.16,0.84,2.05,1.64
0.21,0.57,0.55,1.74,0.3,0.3,0.65,3.61,4.16,0.12,2.05,1.64
0.22,0.53,0.51,1.74,0.3,0.3,0.65,3.61,4.19,0.77,2.05,1.64
0.22,0.5,0.47,1.74,0.3,0.3,0.65,3.61,4.2,2.69,2.05,1.65
0.22,0.49,0.47,1.74,0.3,0.3,0.9,3.61,4.2,4.07,2.05,1.65
0.22,0.48,0.48,0.17,0.3,0.3,1.71,3.63,4.2,3.91,2.05,1.65
0.22,0.49,0.49,0.33,0.3,0.3,1.78,3.64,4.2,3.44,2.05,1.65
0.22,0.49,0.49,0.36,0.3,0.3,1.76,3.64,4.2,3.24,2.05,1.65
0.22,0.5,0.49,0.35,0.3,0.3,1.75,3.65,4.21,3.31,2.06,1.65
0.22,0.5,0.5,0.32,0.3,0.3,1.74,3.65,4.21,3.39,2.06,1.65
0.22,0.5,0.5,0.29,0.31,0.3,1.74,3.65,4.21,3.43,2.06,1.65
0.22,0.5,0.5,0.3,0.31,0.3,1.74,3.65,4.21,3.46,2.06,1.65
0.22,0.5,0.5,0.3,0.31,0.3,1.74,3.65,4.21,3.49,2.06,1.65
0.22,0.5,0.5,0.31,0.31,0.3,1.73,3.65,4.22,3.57,2.06,1.65
0.22,0.5,0.5,0.31,0.31,0.3,1.69,3.65,4.22,3.6,2.07,1.65
0.22,0.5,0.5,0.31,0.31,0.3,1.45,3.65,4.22,3.6,2.07,1.65
0.22,0.5,0.51,0.31,0.31,0.3,1.42,3.65,4.22,3.6,2.07,1.65
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.65,4.22,3.6,2.07,1.65
0.22,0.51,0.51,0.31,0.31,0.3,1.42,3.65,4.22,3.61,2.07,1.65
0.22,0.51,0.51,0.31,0.31,0.3,1.42,3.65,4.22,3.61,2.08,1.66
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.65,4.22,3.62,2.08,1.66
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.66,4.23,3.62,2.08,1.66
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.69,4.23,3.63,2.08,1.66
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.69,4.23,3.63,2.09,1.66
0.22,0.51,0.51,0.31,0.31,0.31,1.43,3.69,4.23,3.63,2.09,1.66
0.22,0.51,0.51,0.31,0.31,0.31,1.43,3.69,4.23,3.64,2.09,1.66
0.22,0.51,0.51,0.32,0.31,0.31,1.43,3.69,4.24,3.64,2.09,1.66
0.22,0.51,0.51,0.32,0.31,0.31,1.43,3.69,4.26,3.64,2.09,1.66
0.22,0.51,0.52,0.32,0.31,0.31,1.44,3.7,4.27,3.65,2.09,1.66
0.22,0.51,0.52,0.32,0.31,0.31,1.44,3.7,4.27,3.65,2.09,1.66
0.22,0.51,0.52,0.32,0.31,0.31,1.44,3.7,4.27,3.65,2.09,1.66
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.27,3.65,2.09,1.72
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.27,3.65,2.09,2.3
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.27,3.66,2.09,3.6
0.22,0.51,0.52,0.32,0.31,0.31,1.45,3.7,4.28,3.66,2.09,4.33
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,4.41
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,4.25
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,3.96
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,3.9
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,4
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.71,4.28,3.67,2.26,4.06
