Weight_dn21.1,Weight_dn21.2,Weight_dn21.3,Weight_un21.1,Weight_un21.3,Weight_dp21.1,Weight_dp21.2,Weight_dp21.3,Weight_up21.1,Weight_up21.2,Weight_up21.3,Weight_un21.2
1.03,1.05,1.26,0.95,1.16,1.13,1.41,2.2,0.67,0.57,0.73,0.84
1.58,1.51,1.47,1.04,1.16,1.12,2.76,2.86,0.98,0.57,0.73,0.89
1.5,1.51,1.44,1.0,1.16,1.12,2.89,2.87,0.99,0.54,0.69,0.86
1.31,1.29,1.34,0.88,1.16,1.12,2.89,2.83,0.98,0.76,0.62,0.79
1.24,1.22,1.2,0.8,1.15,1.12,2.87,2.81,0.98,0.76,0.52,0.72
1.27,1.24,1.18,0.82,1.14,1.12,2.85,2.8,0.97,0.75,0.7,0.72
1.29,1.26,1.2,0.83,1.14,1.12,2.82,2.8,0.97,0.74,0.7,0.73
1.3,1.27,1.22,0.83,1.14,1.12,2.82,2.8,0.97,0.73,0.69,0.74
1.31,1.27,1.23,0.85,1.14,1.12,2.82,2.79,0.96,0.73,0.69,0.74
1.31,1.28,1.23,0.87,1.14,1.12,2.8,2.75,0.91,0.72,0.68,0.75
1.31,1.28,1.23,0.89,1.13,1.13,2.66,2.56,0.82,0.72,0.68,0.76
1.32,1.28,1.23,0.89,1.13,1.14,2.42,2.33,0.76,0.71,0.68,0.77
1.32,1.29,1.23,0.88,1.13,1.12,2.26,2.22,0.76,0.67,0.68,0.77
1.32,1.3,1.23,0.88,1.13,1.07,2.23,2.22,0.76,0.6,0.67,0.76
1.32,1.3,1.23,0.88,1.13,1.08,2.24,2.22,0.76,0.55,0.6,0.76
1.32,1.31,1.23,0.89,1.14,1.09,2.25,2.23,0.77,0.54,0.53,0.76
1.32,1.3,1.23,0.89,1.14,2.17,2.26,2.23,0.77,0.55,0.51,0.76
1.33,1.3,1.24,0.9,1.79,3.02,2.26,2.23,0.78,0.55,0.51,0.76
1.33,1.3,1.24,0.9,1.84,3.06,2.26,2.23,0.78,0.55,0.51,0.76
1.33,1.3,1.24,0.91,1.74,3.06,2.27,2.24,0.78,0.56,0.51,0.76
1.33,1.3,1.24,0.91,1.52,3.05,2.29,2.25,0.78,0.56,0.51,0.76
1.33,1.31,1.24,0.92,1.46,3.04,2.29,2.25,0.78,0.56,0.51,0.76
1.33,1.31,1.24,0.94,1.49,3.03,2.29,2.26,0.78,0.56,0.51,0.76
1.33,1.31,1.24,0.95,1.52,3.03,2.3,2.26,0.78,0.56,0.51,0.76
1.33,1.31,1.24,0.95,1.54,3.02,2.31,2.26,0.79,0.56,0.51,0.76
1.34,1.31,1.24,0.96,1.59,2.89,2.31,2.26,0.79,0.56,0.51,0.76
1.34,1.31,1.24,0.97,1.64,2.64,2.31,2.26,0.79,0.56,0.51,0.76
1.34,1.31,1.24,0.98,1.67,2.44,2.31,2.26,0.79,0.56,0.52,0.76
1.34,1.31,1.24,0.98,1.68,2.4,2.31,2.26,0.79,0.56,0.52,0.76
1.34,1.31,1.24,0.99,1.68,2.41,2.31,2.26,0.79,0.56,0.52,0.76
1.34,1.31,1.24,1.0,1.67,2.43,2.32,2.26,0.79,0.56,0.52,0.76
1.34,1.31,1.24,1.01,1.68,2.45,2.32,2.26,0.79,0.56,0.52,0.76
1.34,1.31,1.24,1.02,1.68,2.48,2.32,2.26,0.79,0.57,0.52,0.76
1.34,1.31,1.25,1.03,1.69,2.49,2.32,2.27,0.79,0.57,0.52,0.76
1.34,1.31,1.25,1.03,1.7,2.49,2.32,2.28,0.79,0.57,0.52,0.76
1.34,1.31,1.25,1.04,1.71,2.5,2.32,2.28,0.79,0.57,0.51,0.76
1.34,1.31,1.25,1.05,1.71,2.5,2.32,2.28,0.79,0.57,0.51,0.76
1.34,1.31,1.25,1.05,1.72,2.5,2.32,2.28,0.79,0.57,0.51,0.76
1.34,1.31,1.25,1.06,1.72,2.5,2.32,2.28,0.8,0.57,0.51,0.76
1.34,1.31,1.25,1.07,1.73,2.51,2.32,2.28,0.8,0.57,0.52,0.76
1.34,1.31,1.25,1.07,1.73,2.51,2.32,2.28,0.8,0.57,0.52,0.76
1.34,1.31,1.25,1.08,1.74,2.51,2.32,2.28,0.8,0.57,0.52,0.76
