Weight_dn24.1,Weight_dn24.2,Weight_dp24.3,Weight_un24.1,Weight_un24.2,Weight_un24.3,Weight_dp24.1,Weight_dp24.2,Weight_dp24.3.1,Weight_up24.1,Weight_up24.2,Weight_up24.3
1.76,1.02,0.86,0.79,0.54,0.71,1.2,0.78,1.19,0.67,0.72,0.6
1.94,1.82,1.56,0.77,0.9,1.0,2.81,2.44,2.68,0.66,0.72,0.71
1.87,1.94,1.64,0.68,0.94,1.06,3.05,2.84,2.88,0.66,0.71,0.7
1.62,1.81,1.54,0.55,0.89,0.73,3.06,2.83,2.88,0.66,0.7,0.69
1.45,1.54,1.33,0.52,0.74,0.65,3.02,2.81,2.86,0.64,0.69,0.68
1.45,1.42,1.24,0.53,0.65,0.65,3.01,2.79,2.84,0.63,0.68,0.67
1.48,1.45,1.25,0.54,0.65,0.66,3.0,2.78,2.83,0.62,0.68,0.65
1.51,1.48,1.26,0.59,0.69,0.73,3.0,2.77,2.81,0.62,0.67,0.65
1.61,1.51,1.36,0.65,0.78,0.85,3.0,2.77,2.81,0.61,0.67,0.64
1.61,1.61,1.37,0.62,0.81,0.88,2.93,2.77,2.81,0.61,0.65,0.64
1.59,1.6,1.35,0.61,0.79,0.86,2.69,2.77,2.8,0.6,0.63,0.63
1.58,1.58,1.33,0.59,0.77,0.83,2.4,2.74,2.7,0.59,0.6,0.63
1.57,1.56,1.32,0.58,0.75,0.8,2.29,2.39,2.49,0.55,0.57,0.62
1.57,1.55,1.3,0.58,0.74,0.79,2.3,2.27,2.31,0.51,0.55,0.61
1.57,1.55,1.29,0.58,0.73,0.79,2.31,2.25,2.26,0.51,0.55,0.59
1.57,1.55,1.28,0.58,0.72,0.79,2.32,2.27,2.29,0.51,0.56,0.57
1.57,1.54,1.28,0.58,0.72,0.79,2.33,2.28,2.31,0.51,0.56,0.55
1.56,1.54,1.29,0.61,0.73,0.81,2.34,2.3,2.31,0.53,0.56,0.54
1.57,1.54,1.29,0.63,0.76,0.87,2.34,2.31,2.31,0.55,0.56,0.54
1.56,1.54,1.28,0.62,0.79,0.91,2.35,2.31,2.32,0.55,0.58,0.55
1.56,1.54,1.28,0.6,0.79,0.89,2.36,2.31,2.32,0.54,0.59,0.55
1.56,1.54,1.28,0.6,0.77,0.88,2.36,2.31,2.33,0.54,0.59,0.55
1.57,1.54,1.29,0.59,0.76,0.87,2.36,2.31,2.33,0.53,0.59,0.55
1.57,1.54,1.3,0.59,0.76,0.87,2.36,2.31,2.33,0.53,0.59,0.59
1.57,1.54,1.3,0.6,0.75,0.88,2.36,2.31,2.33,0.53,0.59,0.61
1.57,1.54,1.29,0.61,0.77,0.92,2.36,2.32,2.33,0.52,0.59,0.61
1.57,1.54,1.29,0.62,0.79,0.96,2.36,2.33,2.33,0.54,0.59,0.6
1.57,1.53,1.28,0.61,0.8,0.96,2.37,2.33,2.33,0.58,0.59,0.6
1.57,1.53,1.28,0.6,0.79,0.94,2.37,2.33,2.33,0.57,0.59,0.59
1.57,1.54,1.28,0.6,0.78,0.93,2.37,2.33,2.33,0.57,0.59,0.58
1.57,1.54,1.28,0.6,0.77,0.94,2.37,2.33,2.33,0.56,0.59,0.58
1.57,1.55,1.28,0.61,0.77,0.97,2.37,2.33,2.33,0.56,0.59,0.57
1.57,1.54,1.28,0.62,0.78,0.99,2.38,2.33,2.33,0.55,0.59,0.56
1.57,1.54,1.28,0.62,0.81,0.99,2.38,2.33,2.33,0.55,0.59,0.58
