Weight_dn9.1,Weight_dn9.2,Weight_dn9.3,Weight_un9.1,Weight_un9.2,Weight_un9.3,Weight_dp9.1,Weight_dp9.2,Weight_dp9.3,Weight_up9.1,Weight_up9.2,Weight_up9.3
5.0,0.67,1.22,0.53,0.95,1.17,0.66,0.74,0.53,1.68,0.55,0.63
0.88,2.17,2.54,1.46,1.41,1.41,2.7,2.83,2.61,1.71,1.48,1.46
2.39,2.91,2.85,1.4,1.42,1.35,3.56,3.52,3.58,1.71,1.66,1.58
3.0,2.49,2.72,1.2,1.27,1.15,3.56,3.55,3.58,1.7,1.65,1.57
2.93,2.18,2.35,1.06,1.07,1.01,3.55,3.54,3.57,1.68,1.64,1.56
2.55,2.17,2.16,1.06,1.06,1.04,3.53,3.53,3.55,1.67,1.63,1.55
2.27,2.22,2.19,1.09,1.08,1.07,3.53,3.52,3.54,1.67,1.62,1.54
2.33,2.29,2.3,1.12,1.13,1.11,3.53,3.51,3.54,1.67,1.61,1.54
2.39,2.4,2.39,1.17,1.17,1.14,3.54,3.51,3.54,1.66,1.61,1.53
2.48,2.45,2.43,1.2,1.17,1.14,3.54,3.52,3.55,1.6,1.6,1.53
2.54,2.44,2.41,1.18,1.16,1.12,3.49,3.51,3.53,1.47,1.54,1.51
2.53,2.42,2.4,1.17,1.15,1.12,2.99,3.4,3.15,1.36,1.4,1.43
2.51,2.38,2.39,1.17,1.15,1.11,2.88,3.16,2.93,1.33,1.28,1.31
2.5,2.33,2.38,1.15,1.12,1.08,2.88,2.95,2.86,1.34,1.24,1.23
2.5,2.33,2.36,1.14,1.11,1.08,2.88,2.87,2.87,1.34,1.25,1.22
2.46,2.35,2.34,1.14,1.11,1.09,2.88,2.87,2.9,1.35,1.27,1.23
2.46,2.36,2.35,1.14,1.12,1.09,2.89,2.88,2.92,1.37,1.27,1.24
2.47,2.37,2.36,1.15,1.12,1.09,2.89,2.92,2.93,1.37,1.27,1.25
2.48,2.38,2.36,1.15,1.13,1.1,2.89,2.93,2.93,1.37,1.27,1.25
2.49,2.38,2.37,1.15,1.13,1.1,2.9,2.94,2.94,1.38,1.27,1.25
2.49,2.39,2.38,1.15,1.13,1.1,2.91,2.95,2.94,1.37,1.28,1.26
2.5,2.39,2.38,1.16,1.13,1.1,2.91,2.95,2.94,1.38,1.28,1.26
2.5,2.4,2.38,1.16,1.13,1.1,2.92,2.96,2.94,1.38,1.28,1.26
2.51,2.41,2.39,1.16,1.13,1.1,2.94,2.97,2.95,1.38,1.28,1.26
2.51,2.41,2.4,1.16,1.13,1.1,2.94,2.98,2.95,1.38,1.28,1.27
2.52,2.41,2.4,1.16,1.13,1.11,2.96,2.98,2.95,1.38,1.28,1.27
2.52,2.42,2.41,1.16,1.14,1.11,2.97,2.99,2.95,1.38,1.28,1.27
2.53,2.42,2.41,1.16,1.14,1.11,2.97,2.99,2.96,1.38,1.28,1.27
2.53,2.42,2.41,1.16,1.14,1.11,2.97,2.99,2.98,1.38,1.29,1.27
2.54,2.43,2.42,1.17,1.14,1.11,2.98,3.0,2.98,1.38,1.29,1.27
2.54,2.43,2.42,1.17,1.14,1.11,2.98,3.0,2.98,1.38,1.3,1.27
2.55,2.43,2.41,1.17,1.14,1.11,2.98,3.0,2.99,1.38,1.3,1.27
2.54,2.43,2.42,1.17,1.14,1.11,2.99,3.0,2.99,1.38,1.3,1.27
