Weight_dn9.1,Weight_dn9.2,Weight_dn12.1
1.07,0.81,0.52
1.25,1.25,1.22
1.22,1.15,1.47
0.96,0.99,1.44
0.97,0.96,1.29
0.99,0.98,1.15
1,1,1.15
1.02,1.01,1.19
1.04,1.03,1.23
1.06,1.05,1.27
1.05,1.05,1.28
1.04,1.05,1.27
1.04,1.05,1.26
1.04,1.05,1.25
1.04,1.05,1.25
1.04,1.05,1.26
1.05,1.05,1.26
1.05,1.05,1.26
1.05,1.05,1.26
1.05,1.06,1.26
1.05,1.06,1.26
1.05,1.06,1.26
1.05,1.06,1.26
1.05,1.06,1.26
1.06,1.06,1.27
1.06,1.06,1.27
1.06,1.07,1.27
1.06,1.07,1.27
1.06,1.07,1.27
1.06,1.07,1.27
1.06,1.07,1.28
1.06,1.07,1.28
1.06,1.07,1.28
1.06,1.07,1.28
1.06,1.07,1.28
1.06,1.07,1.28
1.06,1.08,1.28
1.07,1.08,1.28
1.07,1.08,1.28
1.07,1.08,1.29
1.07,1.08,1.29
1.07,1.08,1.29
1.07,1.08,1.29
1.07,1.09,1.29
1.07,1.09,1.29
1.07,1.09,1.29
1.07,1.09,1.29
1.07,1.09,1.29
1.07,1.09,1.3
1.07,1.09,1.3
1.07,1.09,1.3
1.07,1.09,1.3
1.07,1.09,1.3
1.07,1.09,1.3
1.08,1.09,1.3
1.08,1.09,1.31
1.08,1.09,1.31
1.08,1.1,1.31
1.08,1.1,1.31
1.09,1.1,1.31
1.25,1.1,1.31
1.78,1.1,1.31
2.2,1.1,1.31
2.25,1.1,1.31
1.99,1.1,1.31
1.97,1.1,1.32
1.98,1.1,1.31
1.98,1.1,1.32
2.02,1.1,1.37
2.07,1.1,1.75
2.09,1.1,2.36
2.08,1.11,2.59
2.07,1.1,2.58
2.02,1.1,2.42
2.02,1.1,2.33
2.03,1.11,2.33
2.04,1.11,2.35
2.05,1.11,2.44
2.06,1.11,2.48
2.06,1.11,2.48
2.06,1.11,2.47
2.06,1.11,2.46
2.07,1.11,2.42
2.07,1.15,2.41
2.07,1.43,2.41
2.07,2,2.44
2.07,2.27,2.45
2.08,2.27,2.46
2.08,2.02,2.46
2.08,2.02,2.47
2.08,2.04,2.47
2.09,2.06,2.47
2.09,2.11,2.47
2.09,2.16,2.47
2.09,2.16,2.48
2.09,2.15,2.48
2.09,2.12,2.48
2.09,2.1,2.48
2.09,2.1,2.49
2.09,2.11,2.49
2.09,2.12,2.49
2.1,2.13,2.49
2.1,2.13,2.5
2.1,2.13,2.51
2.1,2.14,2.51
2.1,2.14,2.52
2.1,2.14,2.52
2.1,2.14,2.52
2.1,2.15,2.52
2.1,2.15,2.52
2.1,2.15,2.53
2.11,2.15,2.53
2.11,2.15,2.53
2.11,2.15,2.53
2.11,2.16,2.53
2.11,2.16,2.53
2.11,2.16,2.53
2.11,2.16,2.54
2.11,2.16,2.54
2.11,2.16,2.54
2.11,2.16,2.54
2.11,2.16,2.54
2.11,2.17,2.54
2.11,2.17,2.54
2.11,2.17,2.54
2.12,2.17,2.54
2.12,2.17,2.55
2.12,2.17,2.55
2.12,2.17,2.55
2.12,2.17,2.55
2.12,2.18,2.56
2.12,2.18,2.56
2.12,2.18,2.56
2.12,2.18,2.56
2.12,2.18,2.56
2.12,2.18,2.55
2.12,2.18,2.55
2.12,2.18,2.56
2.12,2.18,2.56
2.12,2.18,2.56
2.12,2.18,2.56
2.13,2.18,2.56
2.34,2.18,2.56
2.83,2.19,2.56
3.19,2.19,2.56
3.25,2.19,2.56
3.14,2.19,2.56
3.01,2.19,2.56
3,2.19,2.57
3.01,2.19,2.7
3.03,2.19,3.16
3.1,2.19,3.64
3.16,2.19,3.79
3.16,2.19,3.75
3.15,2.19,3.56
3.13,2.19,3.58
3.08,2.19,3.6
3.08,2.19,3.63
3.1,2.19,3.68
3.11,2.19,3.75
3.13,2.19,3.77
3.14,2.19,3.77
3.15,2.19,3.75
3.15,2.19,3.69
3.15,2.19,3.71
3.15,2.19,3.72
3.15,2.2,3.73
3.15,2.19,3.75
3.15,2.2,3.76
3.16,2.2,3.77
3.16,2.2,3.78
3.16,2.2,3.78
3.16,2.2,3.78
3.16,2.2,3.78
3.16,2.2,3.79
3.16,2.2,3.79
3.16,2.2,3.79
3.16,2.2,3.79
3.16,2.2,3.79
3.16,2.2,3.8
3.16,2.2,3.8
3.16,2.2,3.8
3.16,2.2,3.8
3.16,2.4,3.8
3.16,2.86,3.81
3.16,3.24,3.81
3.17,3.3,3.81
3.17,3.21,3.81
3.17,3.07,3.81
3.17,3.05,3.82
3.17,3.07,3.82
3.17,3.08,3.81
3.17,3.16,3.81
3.17,3.21,3.82
3.18,3.22,3.82
3.18,3.21,3.82
3.18,3.19,3.82
3.18,3.15,3.82
3.18,3.14,3.83
3.19,3.15,3.83
3.19,3.18,3.83
3.19,3.19,3.83
3.19,3.19,3.83
3.19,3.2,3.83
3.19,3.21,3.83
3.19,3.21,3.83
3.19,3.21,3.84
3.2,3.21,3.84
3.2,3.21,3.85
3.2,3.22,3.85
3.2,3.22,3.85
3.2,3.22,3.85
3.2,3.22,3.86
3.2,3.22,3.86
3.2,3.23,3.86
3.2,3.23,3.86
3.2,3.23,3.86
3.2,3.23,3.86
3.2,3.23,3.86
3.2,3.22,3.87
3.2,3.22,3.87
3.2,3.22,3.87
3.2,3.22,3.87
3.2,3.22,3.87
3.2,3.23,3.87
3.2,3.23,3.87
3.2,3.23,3.87
3.2,3.24,3.92
3.2,3.24,4.13
3.2,3.24,4.53
3.2,3.24,4.83
3.21,3.25,4.92
3.24,3.25,4.83
3.43,3.25,4.75
3.83,3.25,4.57
4.15,3.25,4.03
4.23,3.25,3.92
4.21,3.24,4
4.03,3.24,4.06
4.03,3.24,4.13
4.04,3.24,4.21
4.06,3.24,4.27
4.07,3.24,4.28
4.09,3.25,4.26
4.13,3.25,4.25
4.18,3.25,4.26
4.2,3.26,4.28
4.19,3.26,4.3
4.15,3.26,4.31
4.12,3.26,4.33
4.13,3.27,4.36
4.14,3.27,4.37
4.15,3.27,4.39
4.16,3.27,4.4
4.17,3.27,4.4
4.19,3.27,4.41
4.2,3.26,4.42
4.2,3.26,4.42
4.2,3.26,4.44
4.2,3.26,4.44
4.2,3.26,4.45
4.21,3.26,4.45
4.21,3.26,4.46
4.21,3.26,4.46
4.2,3.27,4.46
4.19,3.27,4.47
4.19,3.27,4.47
4.19,3.27,4.47
4.2,3.27,4.48
4.2,3.41,4.48
4.21,3.74,4.49
4.21,4.12,4.49
4.21,4.26,4.5
4.22,4.25,4.5
4.22,4.19,4.51
4.22,4.08,4.51
4.23,4.06,4.52
4.23,4.07,4.53
4.23,4.1,4.53
4.23,4.12,4.53
4.23,4.15,4.54
4.23,4.2,4.54
4.24,4.23,4.55
4.24,4.24,4.55
4.23,4.23,4.56
4.23,4.21,4.56
4.23,4.17,4.56
4.23,4.18,4.56
4.23,4.19,4.56
4.23,4.2,4.56
4.23,4.21,4.56
4.23,4.22,4.56
4.23,4.23,4.56
4.23,4.24,4.57
4.24,4.25,4.57
4.24,4.25,4.57
4.24,4.25,4.58
4.24,4.25,4.58
4.25,4.26,4.59
4.25,4.26,4.59
4.25,4.26,4.6
4.25,4.25,4.6
4.25,4.25,4.6
4.25,4.24,4.61
4.24,4.25,4.61
4.24,4.26,4.61
4.24,4.26,4.61
4.24,4.27,4.62
4.24,4.27,4.63
4.25,4.27,4.67
4.25,4.28,5.06
4.25,4.28,5.29
4.26,4.29,5.45
4.26,4.29,5.54
4.26,4.29,5.59
4.26,4.29,5.61
4.27,4.28,5.62
4.27,4.27,5.64
4.27,4.27,5.63
4.27,4.27,5.62
4.27,4.27,5.64
4.27,4.28,5.65
4.26,4.29,5.67
4.26,4.29,5.68
4.26,4.3,5.7
4.25,4.3,5.72
4.26,4.3,5.73
4.26,4.31,5.74
4.26,4.31,5.76
4.26,4.31,5.77
4.26,4.31,5.78
4.26,4.32,5.79
4.26,4.32,5.8
4.27,4.32,5.81
4.27,4.31,5.81
4.28,4.31,5.82
4.28,4.31,5.83
4.28,4.31,5.83
4.28,4.31,5.83
4.28,4.31,5.84
4.28,4.31,5.84
4.28,4.31,5.84
4.27,4.31,5.85
4.27,4.32,5.85
4.27,4.32,5.85
4.27,4.32,5.85
4.27,4.33,5.85
4.27,4.33,5.85
4.27,4.33,5.85
4.29,4.34,5.85
4.56,4.34,5.85
4.82,4.34,5.86
5.03,4.33,5.86
5.15,4.33,5.87
5.2,4.33,5.88
5.21,4.33,5.89
5.21,4.34,5.89
5.2,4.39,5.9
5.17,4.55,5.89
5.15,4.81,5.89
5.16,5.03,5.9
5.16,5.16,5.9
5.17,5.24,5.91
5.18,5.27,5.91
5.19,5.28,5.91
5.19,5.28,5.91
5.2,5.25,5.92
5.2,5.22,5.92
5.21,5.22,5.93
5.22,5.23,5.93
5.23,5.24,5.93
5.23,5.24,5.93
5.24,5.26,5.93
5.24,5.27,5.93
5.24,5.28,5.94
5.24,5.29,5.94
5.24,5.3,5.93
5.25,5.3,5.93
5.25,5.31,5.93
5.25,5.32,5.93
5.25,5.32,5.93
5.25,5.33,5.92
5.25,5.33,5.92
5.24,5.34,5.92
