Weight_d27mm,Weight_u27mm,Weight_d24mm,Weight_u24mm,Weight_d21mm,Weight_u21mm
0.6,0.74,0.6,0.62,1.34,0.64
2.11,0.74,2.12,0.72,2.41,0.96
2.56,0.74,2.61,0.71,2.49,0.95
2.57,0.74,2.59,0.7,2.48,0.94
2.55,0.74,2.58,0.69,2.46,0.93
2.53,0.74,2.56,0.67,2.45,0.92
2.52,0.74,2.55,0.67,2.43,0.92
2.51,0.74,2.55,0.66,2.43,0.92
2.51,0.74,2.55,0.66,2.43,0.92
2.51,0.74,2.55,0.65,2.43,0.9
2.5,0.74,2.37,0.61,2.43,0.85
2.43,0.74,2.17,0.55,2.25,0.73
2.26,0.74,2.03,0.51,2.06,0.72
2.04,0.74,2.01,0.51,1.96,0.72
2.04,0.75,2.02,0.51,1.95,0.72
2.04,0.74,2.05,0.51,1.97,0.73
2.04,0.74,2.06,0.52,2,0.73
2.05,0.74,2.07,0.52,2,0.73
2.05,0.74,2.07,0.52,2.01,0.73
2.05,0.74,2.09,0.52,2.01,0.73
2.06,0.74,2.09,0.53,2.01,0.73
2.07,0.74,2.09,0.53,2.02,0.73
2.07,0.74,2.09,0.53,2.03,0.73
2.08,0.74,2.09,0.53,2.03,0.73
2.09,0.74,2.09,0.53,2.03,0.73
2.09,0.74,2.09,0.53,2.03,0.74
2.09,0.74,2.09,0.53,2.03,0.74
2.09,0.74,2.09,0.53,2.03,0.74
2.09,0.74,2.1,0.53,2.03,0.74
2.09,0.74,2.1,0.53,2.04,0.74
2.1,0.74,2.1,0.53,2.04,0.74
2.11,0.74,2.1,0.53,2.04,0.74
2.11,0.83,2.1,0.53,2.05,0.74
2.12,0.86,2.1,0.53,2.06,0.74
2.12,0.85,2.11,0.53,2.06,0.74
2.12,0.84,2.12,0.53,2.06,0.74
2.12,0.83,2.12,0.53,2.06,0.74
2.12,0.82,2.12,0.53,2.06,0.74
2.12,0.82,2.12,0.53,2.06,0.74
2.12,0.82,2.12,0.53,2.06,0.74
2.12,0.81,2.12,0.53,2.06,0.74
2.12,0.77,2.12,0.53,2.06,0.74
2.12,0.71,2.12,0.53,2.06,0.74
2.13,0.68,2.12,0.53,2.06,0.74
2.12,0.67,2.12,0.53,2.06,0.74
2.13,0.67,2.12,0.53,2.07,0.74
2.13,0.68,2.12,0.53,2.07,0.74
2.13,0.68,2.12,0.53,2.07,0.74
2.14,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.12,0.53,2.07,0.74
2.15,0.68,2.13,0.53,2.07,0.74
2.15,0.68,2.14,0.53,2.07,0.74
2.15,0.68,2.14,0.53,2.07,0.74
2.15,0.68,2.14,0.53,2.07,0.74
2.16,0.68,2.14,0.53,2.07,0.74
2.16,0.68,2.14,0.53,3.51,0.74
2.16,0.68,2.14,0.53,4.49,0.74
2.16,0.68,2.14,0.53,4.55,0.74
2.16,0.68,2.14,0.53,4.53,0.74
2.16,0.68,2.14,0.53,4.51,0.74
2.16,0.68,2.14,0.53,4.5,0.74
2.16,0.68,2.14,0.53,4.49,0.74
2.16,0.68,2.14,0.53,4.49,0.74
2.16,0.68,2.14,0.53,4.49,0.74
2.16,0.68,2.14,0.53,4.21,0.74
2.16,0.68,2.14,0.53,4.03,0.74
2.16,0.68,2.14,0.53,4,0.74
2.16,0.68,2.14,0.53,4.03,0.74
2.16,0.68,2.14,0.53,4.03,0.74
2.16,0.68,2.14,0.53,4.04,0.74
2.16,0.68,2.14,0.53,4.05,0.86
2.16,0.68,2.14,0.53,4.06,1.34
2.16,0.68,2.14,0.53,4.06,1.53
2.16,0.68,2.14,0.53,4.07,1.5
2.16,0.68,2.14,0.53,4.08,1.49
2.17,0.68,2.14,0.53,4.08,1.48
2.17,0.68,2.17,0.53,4.09,1.47
2.17,0.68,2.95,0.53,4.09,1.47
2.17,0.68,4.39,0.53,4.09,1.47
2.21,0.68,4.66,0.53,4.09,1.45
3.11,0.68,4.66,0.53,4.09,1.38
4.47,0.68,4.62,0.53,4.1,1.31
4.67,0.68,4.61,0.53,4.1,1.31
4.66,0.68,4.61,0.53,4.1,1.32
4.61,0.68,4.6,0.53,4.1,1.32
4.6,0.68,4.5,0.53,4.1,1.32
4.59,0.68,4.23,0.53,4.1,1.32
4.59,0.68,4.08,0.53,4.1,1.32
4.55,0.68,4.08,0.53,4.11,1.32
4.36,0.68,4.1,0.53,4.11,1.32
4.14,0.68,4.11,0.53,4.11,1.32
4.09,0.68,4.13,0.53,4.11,1.32
4.13,0.68,4.13,0.53,4.11,1.32
4.14,0.67,4.13,0.55,4.11,1.32
4.14,0.68,4.13,0.56,4.11,1.32
4.15,0.68,4.14,0.57,4.11,1.32
4.16,0.67,4.14,0.57,4.12,1.32
4.16,0.72,4.14,0.57,4.12,1.32
4.16,1.25,4.14,0.57,4.12,1.32
4.16,1.25,4.15,0.57,4.12,1.32
4.16,1.24,4.16,0.57,4.12,1.32
4.16,1.23,4.16,0.57,4.12,1.32
4.17,1.22,4.16,0.57,4.12,1.32
4.17,1.22,4.16,0.57,4.12,1.32
4.17,1.21,4.16,0.57,4.12,1.32
4.17,1.21,4.16,0.57,4.12,1.32
4.17,1.21,4.16,0.57,4.13,1.32
4.17,1.13,4.17,0.57,4.13,1.32
4.17,1.1,4.18,0.57,4.13,1.32
4.18,1.1,4.18,0.57,4.13,1.33
4.18,1.11,4.18,0.56,4.13,1.32
4.18,1.11,4.18,0.56,4.13,1.32
4.19,1.11,4.19,0.56,4.13,1.32
4.2,1.11,4.19,0.56,4.13,1.32
4.2,1.11,4.19,0.56,4.13,1.32
4.2,1.11,4.18,0.56,4.13,1.32
4.2,1.11,4.19,0.56,4.13,1.33
4.2,1.11,4.19,0.56,4.13,1.32
4.2,1.11,4.19,0.56,4.13,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
