Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un,Weight_1821up,Weight_1821dp,Weight_1821dn,Weight_1821un,Weight_1821un.3,Weight_1833up,Weight_1833dp,Weight_1833un,Weight_1833dn,Weight_1827un,Weight_1827dn,Weight_1827dp,Weight_1827up
0.22,0.1,0.29,0.75,0.3,0.16,0.64,0.22,0.42,0.84,2,0.11,0.18,0.1,0.26,0.34,0.14,0.34,0.13,0.46,1.19,0.36,0.11,0.14,0.19
0.25,0.1,0.29,1.75,0.35,0.32,0.65,2.49,3.23,0.84,0.22,0.75,0.54,0.11,1.01,0.5,0.41,0.64,2.48,1.88,1.88,1.05,0.18,0.1,0.16
0.25,0.1,0.29,1.74,0.34,0.34,0.64,4.45,5.15,0.84,1.22,1.75,0.65,0.12,1.47,0.5,0.51,0.84,5.85,2.99,1.97,1.3,0.13,0.56,0.1
0.25,0.1,0.29,1.74,0.31,0.33,0.65,4.59,5.26,0.84,2.21,2.04,0.65,0.12,1.48,0.48,0.5,0.97,6.36,3.1,1.92,1.28,1.21,2.14,0.1
0.25,0.1,0.29,1.74,0.28,0.3,0.65,4.58,5.24,0.84,2.35,1.99,0.64,0.12,1.42,0.44,0.48,0.7,6.35,2.91,1.73,1.17,1.51,3.12,0.1
0.25,0.1,0.29,1.74,0.28,0.27,0.65,4.55,5.2,0.84,2.31,1.76,0.63,0.12,1.28,0.4,0.44,0.2,6.32,2.44,1.64,0.99,1.52,3.33,0.1
0.25,0.1,0.29,1.74,0.28,0.27,0.65,4.51,5.14,1.33,2.17,1.54,0.62,0.12,1.21,0.39,0.41,0.18,6.28,2.21,1.66,1.01,1.43,3.33,0.1
0.25,0.1,0.29,1.74,0.29,0.28,0.65,4.48,5.14,0.98,2,1.52,0.62,0.12,1.24,0.4,0.41,2.36,6.24,2.28,1.69,1.02,1.29,3.33,0.1
0.25,0.1,0.29,1.75,0.29,0.28,0.65,4.47,5.14,0.86,1.98,1.56,0.61,0.61,1.24,0.43,0.41,2.4,6.23,2.31,1.72,1.03,1.27,3.33,0.1
0.25,0.1,0.29,1.75,0.29,0.29,0.65,4.47,5.14,0.85,2.02,1.58,0.6,1.75,1.24,0.46,0.44,2.39,6.23,2.39,1.73,1.04,1.29,3.34,0.1
