Weight_up_n4,Weight_dp_n4,Weight_dn_n4,Weight_un_n4,Weight_up_n6,Weight_dp_n6,Weight_dn_n6,Weight_un_n6,Weight_up_n8,Weight_dp_n8,Weight_dn_n8,Weight_un_n8,Weight_up_n10,Weight_dp_n10,Weight_dn_n10,Weight_un_n10
0.1,2,0.11,0.1,0.59,0.1,0.1,0.61,0.65,0.3,0.1,0.14,0.31,0.14,0.1,0.29
0.11,0.41,0.62,0.1,0.78,0.1,0.1,0.66,0.83,1.46,0.1,0.54,0.82,1.21,0.1,0.72
0.11,0.78,0.64,0.1,0.78,0.1,0.1,0.63,0.84,1.49,0.1,0.76,0.91,1.85,0.43,0.83
0.11,0.82,0.63,0.1,0.77,0.1,0.1,0.54,0.84,1.49,0.1,0.71,0.91,1.91,1.09,0.81
0.11,0.83,0.6,0.1,0.76,0.1,0.1,0.49,0.83,1.5,0.1,0.62,0.9,1.91,1.29,0.78
0.11,0.82,0.57,0.1,0.76,0.1,0.31,0.49,0.83,1.5,0.1,0.59,0.9,1.91,1.24,0.71
0.11,0.81,0.55,0.11,0.75,0.1,0.83,0.5,0.83,1.5,0.1,0.6,0.89,1.9,1.13,0.67
0.11,0.8,0.55,0.11,0.75,0.1,1.11,0.51,0.83,1.5,0.1,0.61,0.88,1.89,1.09,0.67
0.11,0.79,0.55,0.11,0.74,0.1,1.13,0.52,0.83,1.51,0.1,0.62,0.87,1.89,1.1,0.68
0.11,0.78,0.61,0.11,0.7,0.1,1.11,0.52,0.77,1.48,0.1,0.62,0.86,1.87,1.12,0.7
0.11,0.77,0.62,0.11,0.62,0.1,1.04,0.52,0.69,1.27,0.1,0.62,0.83,1.77,1.13,0.74
0.11,0.77,0.6,0.11,0.56,0.1,0.99,0.52,0.66,1.21,0.1,0.63,0.77,1.61,1.13,0.74
0.11,0.76,0.59,0.11,0.55,0.1,1,0.53,0.66,1.21,0.1,0.63,0.73,1.51,1.15,0.72
0.11,0.73,0.58,0.11,0.55,0.1,1.02,0.53,0.66,1.22,0.1,0.63,0.72,1.49,1.17,0.71
0.12,0.7,0.58,0.11,0.55,0.1,1.04,0.53,0.66,1.23,0.1,0.63,0.72,1.49,1.17,0.7
0.11,0.68,0.59,0.11,0.55,0.99,1.04,0.54,0.66,1.23,0.44,0.63,0.73,1.5,1.17,0.7
0.11,0.68,0.62,0.11,0.55,1.04,1.05,0.54,0.66,1.23,1.24,0.63,0.73,1.51,1.17,0.7
0.11,0.68,0.62,0.11,0.55,1.05,1.05,0.53,0.66,1.23,1.24,0.64,0.73,1.51,1.17,0.69
0.11,0.68,0.6,0.1,0.55,1.05,1.06,0.54,0.67,1.23,1.18,0.64,0.74,1.51,1.16,0.69
0.11,0.68,0.59,0.25,0.55,1.05,1.06,0.54,0.67,1.23,1.08,0.64,0.73,1.51,1.16,0.72
0.11,0.69,0.6,0.27,0.55,1.05,1.07,0.54,0.67,1.23,1.07,0.64,0.73,1.51,1.16,0.74
0.11,0.74,0.63,0.25,0.55,1.05,1.07,0.54,0.67,1.24,1.09,0.64,0.73,1.51,1.16,0.73
0.11,0.74,0.63,0.22,0.55,1.05,1.08,0.54,0.67,1.24,1.11,0.64,0.74,1.51,1.16,0.71
0.11,0.74,0.62,0.2,0.55,1.05,1.08,0.54,0.67,1.24,1.12,0.64,0.75,1.51,1.16,0.7
0.11,0.73,0.6,0.2,0.55,0.99,1.08,0.54,0.67,1.24,1.13,0.64,0.76,1.51,1.17,0.7
0.11,0.72,0.6,0.2,0.55,0.9,1.09,0.54,0.67,1.24,1.14,0.64,0.76,1.51,1.19,0.7
0.11,0.71,0.63,0.21,0.55,0.84,1.09,0.54,0.67,1.24,1.14,0.64,0.76,1.51,1.2,0.7
0.11,0.71,0.64,0.25,0.55,0.82,1.09,0.54,0.67,1.25,1.15,0.64,0.76,1.51,1.2,0.73
0.11,0.7,0.62,0.26,0.55,0.82,1.09,0.54,0.67,1.25,1.15,0.64,0.76,1.51,1.19,0.74
0.11,0.69,0.61,0.25,0.55,0.83,1.1,0.54,0.68,1.25,1.15,0.64,0.76,1.51,1.18,0.73
0.11,0.69,0.6,0.23,0.55,0.84,1.1,0.54,0.68,1.25,1.16,0.64,0.76,1.51,1.18,0.72
0.11,0.72,0.61,0.22,0.55,0.84,1.11,0.54,0.68,1.25,1.16,0.64,0.76,1.51,1.18,0.71
0.11,0.73,0.64,0.22,0.55,0.84,1.11,0.54,0.68,1.25,1.16,0.64,0.76,1.51,1.18,0.7
0.12,0.73,0.64,0.25,0.55,0.84,1.11,0.54,0.68,1.25,1.18,0.64,0.76,1.51,1.18,0.7
0.12,0.72,0.63,0.27,0.55,0.84,1.11,0.54,0.68,1.25,1.18,0.64,0.76,1.55,1.18,0.7
0.12,0.71,0.61,0.26,0.55,0.85,1.12,0.54,0.68,1.25,1.19,0.64,0.76,1.64,1.18,0.72
