Weight_18.1,Weight_18.2,Weight_18.3,Weight_21.1,Weight_21.2,Weight_21.3,Weight_27.1,Weight_27.2,Weight_27.3,Weight_30.1,Weight_30.2,Weight_30.3,Weight_33.1,Weight_30.2.1,Weight_33.3
0.11,0.15,0.43,0.1,0.33,0.12,0.11,0.16,0.52,0.2,0.19,0.1,0.11,0.1,0.1
0.17,0.2,0.43,0.14,0.31,0.12,0.16,0.19,0.28,0.65,0.18,0.21,0.11,0.1,0.1
0.16,0.19,0.43,0.23,0.31,0.11,0.15,0.19,0.69,0.74,0.17,0.2,0.11,0.14,0.21
0.15,0.19,0.43,0.22,0.3,0.11,0.15,0.18,0.18,1.89,0.17,0.2,0.11,0.27,0.26
0.15,0.18,0.43,0.21,0.3,0.11,0.14,0.18,0.82,1.91,0.17,0.2,0.11,0.26,0.25
0.15,0.18,0.43,0.21,0.29,0.11,0.14,0.18,0.82,1.92,0.17,0.2,0.1,0.25,0.25
0.15,0.18,0.43,0.21,0.29,0.11,0.14,0.18,0.81,1.71,0.17,0.2,0.1,0.25,0.25
0.15,0.18,0.43,0.2,0.29,0.11,0.14,0.18,0.7,1.77,0.17,0.2,0.1,0.25,0.25
0.14,0.18,0.43,0.2,0.29,0.1,0.13,0.18,0.25,0.7,0.17,0.21,0.1,0.25,0.24
0.14,0.18,0.43,0.2,0.29,0.17,0.13,0.18,0.35,0.2,0.2,0.21,0.22,0.25,0.24
0.19,0.26,0.43,0.2,0.41,0.28,0.18,0.27,0.73,0.2,0.39,0.23,0.27,0.25,0.24
0.3,0.36,0.43,0.24,0.61,0.27,0.26,0.35,0.75,0.2,0.39,0.41,0.26,0.25,0.24
0.29,0.35,0.43,0.38,0.59,0.26,0.25,0.34,0.74,0.2,0.38,0.41,0.26,0.29,0.36
0.28,0.34,0.43,0.36,0.58,0.26,0.25,0.34,0.73,0.2,0.38,0.4,0.26,0.48,0.47
0.28,0.34,0.43,0.36,0.58,0.26,0.25,0.34,0.73,0.2,0.37,0.4,0.25,0.47,0.46
0.27,0.34,0.43,0.35,0.58,0.25,0.24,0.33,0.72,0.2,0.37,0.4,0.25,0.47,0.46
0.27,0.33,0.43,0.35,0.57,0.25,0.24,0.33,0.72,0.2,0.37,0.4,0.25,0.47,0.45
0.27,0.33,0.43,0.34,0.57,0.25,0.24,0.33,0.71,0.2,0.37,0.4,0.25,0.46,0.45
0.26,0.33,0.43,0.34,0.57,0.25,0.24,0.33,0.12,0.2,0.37,0.4,0.25,0.46,0.45
0.26,0.33,0.43,0.34,0.57,0.3,0.24,0.33,0.11,0.2,0.52,0.4,0.37,0.46,0.45
0.29,0.39,0.43,0.34,0.65,0.52,0.27,0.4,0.1,0.14,0.62,0.54,0.5,0.46,0.45
0.44,0.56,0.43,0.37,0.93,0.5,0.42,0.56,0.1,0.22,0.61,0.66,0.49,0.45,0.44
0.42,0.53,0.43,0.61,0.9,0.5,0.4,0.54,0.1,0.21,0.6,0.64,0.48,0.62,0.53
0.42,0.53,0.43,0.6,0.89,0.49,0.39,0.54,0.1,0.21,0.6,0.64,0.47,0.71,0.7
0.41,0.52,0.43,0.59,0.89,0.49,0.39,0.54,0.1,0.2,0.59,0.64,0.47,0.69,0.69
0.41,0.52,0.43,0.58,0.88,0.48,0.39,0.53,0.1,0.2,0.59,0.63,0.47,0.69,0.68
0.4,0.51,0.43,0.57,0.88,0.48,0.38,0.53,0.1,0.2,0.59,0.63,0.47,0.69,0.68
0.4,0.51,0.43,0.57,0.88,0.48,0.38,0.53,0.16,0.2,0.59,0.63,0.47,0.68,0.68
0.4,0.51,0.43,0.56,0.87,0.48,0.38,0.53,0.16,0.2,0.59,0.63,0.46,0.68,0.67
0.4,0.5,0.43,0.56,0.87,0.69,0.38,0.53,0.15,0.19,0.71,0.63,0.54,0.68,0.67
0.55,0.53,0.43,0.56,0.91,0.79,0.55,0.58,0.15,0.27,0.88,0.75,0.71,0.67,0.67
0.66,0.72,0.43,0.71,1.21,0.77,0.62,0.79,0.15,0.42,0.87,0.95,0.69,0.67,0.67
0.74,0.7,0.11,0.84,1.19,0.76,0.61,0.78,0.15,0.41,0.94,0.94,0.69,0.79,0.72
0.83,0.7,0.25,0.82,1.18,0.76,0.6,0.78,0.15,0.4,0.92,0.93,0.68,0.93,0.93
0.89,0.69,0.24,0.81,1.18,0.75,0.59,0.77,0.15,0.4,0.89,0.92,0.68,0.92,0.92
0.89,0.68,0.24,0.8,1.17,0.74,0.59,0.77,0.15,0.39,0.88,0.92,0.68,0.91,0.91
0.89,0.68,0.24,0.8,1.16,0.74,0.59,0.76,0.3,0.39,0.86,0.92,0.67,0.9,0.91
0.88,0.68,0.23,0.79,1.16,0.74,0.58,0.76,0.39,0.39,0.87,0.92,0.67,0.9,0.91
0.88,0.67,0.23,0.79,1.16,0.73,0.58,0.76,0.38,0.39,0.85,0.92,0.67,0.9,0.9
0.87,0.67,0.23,0.78,1.16,0.91,0.58,0.76,0.37,0.38,0.95,0.91,0.72,0.89,0.9
0.97,0.82,0.23,0.78,1.34,1.08,0.72,0.97,0.37,0.43,1.23,0.98,0.94,0.89,0.9
0.93,0.92,0.23,0.9,1.5,1.06,0.85,1.08,0.37,0.63,1.15,1.23,0.93,0.89,0.9
0.69,0.9,0.34,1.12,1.48,1.05,0.83,1.07,0.37,0.62,1.16,1.21,0.93,0.98,1.08
