,Weight_n4.1,Weight_n4.2,Weight_n4.3,Weight_n6.1,Weight_n6.2,Weight_n6.3,Weight_n8.1,Weight_n8.2,Weight_n8.3,Weight_n10.1,Weight_n10.2,Weight_n10.3,Weight_n12.1,Weight_n12.2,Weight_n12.3,Weight_n4.1.1,Weight_n4.2.1,Weight_n4.3.1,Weight_n6.1.1,Weight_n6.2.1,Weight_n6.3.1,Weight_n8.1.1,Weight_n8.2.1,Weight_n8.3.1,Weight_n10.1.1,Weight_n10.2.1,Weight_n10.3.1,Weight_n12.1.1,Weight_n12.2.1,Weight_12.3
max_val,6.6,6.44,6.06,9.07,8.7,8.61,7.44,7.12,7.1,6.69,6.18,5.9,7.18,6.29,6.11,0.74,0.13,0.11,0.1,0.45,0.24,0.13,0.11,0.23,0.1,0.13,0.14,0.17,0.15,0.18
,,,,,,,,,,,,,,,,0.4,0.12,0.18,0.18,0.29,0.23,0.16,0.17,0.22,0.1,0.2,0.12,0.25,0.15,0.23
,,,,,,,,,,,,,,,,0.53,0.12,0.18,0.17,0.35,0.23,0.16,0.16,0.22,0.1,0.2,0.14,0.23,0.15,0.22
,,exp_origin,,,,,,,,,,,,,,0.18,0.12,0.17,0.17,0.36,0.23,0.15,0.16,0.22,0.14,0.19,0.15,0.22,0.15,0.22
,,,,,,,,,,,,,,,,0.22,0.12,0.17,0.17,0.36,0.23,0.15,0.16,0.22,0.22,0.19,0.15,0.21,0.15,0.22
,,,,,,,,,,,,,,,,0.21,0.12,0.17,0.17,0.36,0.22,0.15,0.15,0.22,0.21,0.19,0.15,0.21,0.15,0.22
,,,,,,,new,origin,,,,,,,,0.2,0.12,0.17,0.16,0.36,0.22,0.15,0.15,0.21,0.2,0.19,0.15,0.21,0.15,0.22
,,n4,6.05,5.93,5.92,average,5.97,6.37,,,,,,,,0.2,0.12,0.17,0.16,0.35,0.22,0.15,0.15,0.21,0.2,0.19,0.15,0.21,0.15,0.22
,,n6,7.36,7.55,7.33,average,7.41,8.79,,,,,,,,0.2,0.12,0.17,0.16,0.36,0.22,0.15,0.15,0.21,0.2,0.19,0.15,0.21,0.15,0.23
,,n8,7.91,7.43,7.28,average,7.54,7.22,,,,,,,,0.2,0.2,0.17,0.16,0.36,0.37,0.14,0.15,0.35,0.2,0.19,0.15,0.2,0.2,0.23
,,n10,6.81,6.31,6.28,average,6.47,6.26,,,,,,,,0.19,0.38,0.26,0.27,0.36,0.46,0.29,0.3,0.45,0.19,0.2,0.15,0.31,0.33,0.33
,,n12,6.71,6.5,6.17,average,6.46,6.53,,,,,,,,0.19,0.36,0.42,0.4,0.35,0.45,0.42,0.47,0.44,0.19,0.21,0.15,0.46,0.32,0.47
,,,,,,,,,,,,,,,,0.19,0.36,0.4,0.39,0.36,0.45,0.41,0.46,0.43,0.19,0.21,0.15,0.45,0.32,0.46
,,,,,,std,0.059066817,0.226470503,,,,,,,,0.25,0.35,0.4,0.38,0.13,0.44,0.4,0.45,0.43,0.22,0.21,0.15,0.44,0.31,0.46
,,,,,,std,0.097410928,0.199053315,,,,,,,,0.47,0.35,0.39,0.38,0.13,0.44,0.4,0.44,0.43,0.3,0.21,0.15,0.43,0.31,0.45
,,,,,,std,0.268700577,0.155777619,,,,,,,,0.46,0.35,0.39,0.37,0.12,0.43,0.39,0.44,0.43,0.29,0.21,0.15,0.43,0.31,0.45
,,,,,,std,0.243082062,0.327040602,,,,,,,,0.46,0.35,0.39,0.37,0.12,0.43,0.39,0.44,0.42,0.28,0.21,0.1,0.43,0.31,0.45
,,,,,,std,0.222261108,0.467784376,,,,,,,,0.45,0.35,0.39,0.37,0.12,0.43,0.39,0.43,0.42,0.28,0.21,0.31,0.43,0.31,0.45
,,,,,,,,,,,,,,,,0.45,0.35,0.39,0.36,0.12,0.43,0.38,0.43,0.42,0.28,0.21,0.17,0.42,0.31,0.45
,,,,,,,,,,,,,,,,0.44,0.39,0.38,0.36,0.12,0.54,0.38,0.43,0.53,0.28,0.21,0.14,0.42,0.35,0.45
,,,,,,,,,,,,,,,,0.44,0.59,0.45,0.44,0.12,0.69,0.49,0.52,0.73,0.28,0.35,0.12,0.49,0.58,0.53
,,,,,,,,,,,,,,,,0.44,0.58,0.67,0.63,0.12,0.67,0.7,0.76,0.71,0.27,0.41,0.14,0.71,0.57,0.73
,,,,,,,,,,,,,,,,0.44,0.57,0.64,0.61,0.2,0.66,0.69,0.74,0.7,0.27,0.4,0.15,0.69,0.56,0.71
,,,,,,,,,,,,,,,,0.62,0.57,0.64,0.6,0.34,0.66,0.67,0.73,0.7,0.3,0.4,0.15,0.68,0.56,0.71
,,,,,,,,,,,,,,,,0.69,0.57,0.63,0.6,0.33,0.65,0.67,0.72,0.7,0.45,0.39,0.15,0.67,0.56,0.71
,,,,,,,,,,,,,,,,0.68,0.56,0.63,0.59,0.32,0.65,0.66,0.72,0.69,0.44,0.39,0.15,0.67,0.55,0.7
,,,,,,,,,,,,,,,,0.67,0.56,0.63,0.59,0.32,0.65,0.66,0.71,0.69,0.44,0.39,0.15,0.66,0.55,0.7
,,,,,,,,,,,,,,,,0.67,0.56,0.62,0.58,0.32,0.65,0.65,0.71,0.69,0.43,0.39,0.15,0.66,0.55,0.7
,,,,,,,,,,,,,,,,0.66,0.56,0.62,0.58,0.31,0.65,0.65,0.71,0.68,0.43,0.39,0.15,0.66,0.55,0.7
,,,,,,,,,,,,,,,,0.65,0.76,0.62,0.58,0.31,0.71,0.65,0.71,0.75,0.43,0.39,0.15,0.66,0.71,0.7
,,,,,,,,,,,,,,,,0.65,0.86,0.85,0.62,0.31,0.9,0.71,0.75,0.99,0.42,0.52,0.15,0.69,0.82,0.73
,,,,,,,,,,,,,,,,0.65,0.85,0.92,0.86,0.31,0.88,0.96,1.03,0.98,0.42,0.66,0.15,0.93,0.81,0.96
,,,,,,,,,,,,,,,,0.65,0.84,0.91,0.84,0.36,0.87,0.95,1.02,0.97,0.42,0.64,0.15,0.92,0.8,0.95
,,,,,,,,,,,,,,,,0.82,0.83,0.9,0.84,0.55,0.87,0.94,1.01,0.97,0.57,0.64,0.15,0.91,0.79,0.95
,,,,,,,,,,,,,,,,0.96,0.83,0.89,0.83,0.54,0.86,0.94,1,0.96,0.68,0.63,0.15,0.9,0.79,0.94
,,,,,,,,,,,,,,,,0.95,0.82,0.89,0.82,0.53,0.86,0.93,1,0.96,0.67,0.63,0.11,0.9,0.79,0.94
,,,,,,,,,,,,,,,,0.94,0.82,0.89,0.82,0.53,0.86,0.92,0.99,0.95,0.66,0.63,0.15,0.89,0.79,0.94
,,,,,,,,,,,,,,,,0.93,0.82,0.88,0.81,0.53,0.86,0.92,0.99,0.95,0.65,0.62,0.14,0.89,0.79,0.94
,,,,,,,,,,,,,,,,0.92,0.81,0.88,0.81,0.52,0.85,0.92,0.98,0.95,0.65,0.62,0.14,0.89,0.78,0.93
,,,,,,,,,,,,,,,,0.92,0.96,0.88,0.81,0.52,0.89,0.91,0.98,1.19,0.64,0.62,0.14,0.89,0.9,0.93
,,,,,,,,,,,,,,,,0.91,1.13,1.03,1,0.52,1.16,1.15,1.19,1.29,0.64,0.71,0.14,1.06,1.06,1.1
,,,,,,,,,,,,,,,,0.91,1.11,1.17,1.13,0.52,1.14,1.25,1.33,1.28,0.64,0.91,0.13,1.19,1.05,1.22
,,,,,,,,,,,,,,,,0.9,1.1,1.15,1.11,0.69,1.13,1.23,1.31,1.27,0.63,0.89,0.13,1.18,1.04,1.2
,,,,,,,,,,,,,,,,1.02,1.09,1.14,1.1,0.77,1.13,1.23,1.31,1.26,0.74,0.89,0.13,1.17,1.03,1.2
,,,,,,,,,,,,,,,,1.23,1.09,1.13,1.09,0.76,1.12,1.22,1.29,1.26,0.92,0.88,0.13,1.16,1.03,1.19
,,,,,,,,,,,,,,,,1.21,1.08,1.13,1.09,0.75,1.12,1.21,1.29,1.25,0.91,0.88,0.14,1.15,1.03,1.19
,,,,,,,,,,,,,,,,1.19,1.08,1.12,1.08,0.74,1.11,1.21,1.28,1.25,0.89,0.87,0.13,1.15,1.02,1.18
,,,,,,,,,,,,,,,,1.19,1.07,1.12,1.08,0.74,1.11,1.2,1.28,1.24,0.89,0.87,0.13,1.14,1.02,1.18
,,,,,,,,,,,,,,,,1.18,1.07,1.12,1.07,0.74,1.11,1.2,1.28,1.24,0.88,0.87,0.13,1.14,1.02,1.18
,,,,,,,,,,,,,,,,1.18,1.16,1.11,1.07,0.73,1.3,1.19,1.27,1.4,0.88,0.87,0.13,1.13,1.09,1.18
